IATA_CODE,AIRLINE,,,,,
UA,United Air Lines Inc.,,,,,
AA,American Airlines Inc.,,,,,
F9,Frontier Airlines Inc.,,,,,
B6,JetBlue Airways,,,,,
OO,Skywest Airlines Inc.,,,,,
AS,Alaska Airlines Inc.,,,,,
NK,Spirit Air Lines,,,,,
WN,Southwest Airlines Co.,,,,,
DL,Delta Air Lines Inc.,,,,,
EV,ExpressJet Airlines,,,,,
HA,Hawaiian Airlines Inc.,,,,,
MQ,Envoy Air,,,,,
VX,Virgin America,,,,,
G4,Allegiant Air,,,,,
YV,Mesa Airlines,,,,,
9E,Endeavor Air,,,,,
OH,PSA Airlines,,,,,
YX,Republic Airways,,,,,